Year,age standardized rate,crude rate,comparative mortality ratio
1990,16.392258,11.553627,1.418798
1991,15.990058,11.351603,1.408617
1992,15.326742,10.934820,1.401646
1993,15.468504,11.031363,1.402230
1994,14.906641,10.849573,1.373938
1995,14.610127,10.811721,1.351323
1996,14.391775,10.764781,1.336931
1997,13.933429,10.485212,1.328865
1998,13.674903,10.390213,1.316133
1999,13.233002,10.300562,1.284687
2000,12.739146,10.196957,1.249309
2001,12.436004,10.050193,1.237390
2002,12.529997,10.197721,1.228706
2003,12.599212,10.346889,1.217681
2004,11.633669,9.918334,1.172946
2005,11.500782,10.070927,1.141979
2006,11.160393,9.981509,1.118107
2007,11.055971,10.060530,1.098945
2008,11.092725,10.297729,1.077201
2009,10.953967,10.446460,1.048582
2010,10.677478,10.504601,1.016457
2011,10.610610,10.610610,1.000000
2012,10.556142,10.799075,0.977504
2013,10.663420,11.066647,0.963564
2014,10.072249,10.694364,0.941828
2015,10.500458,11.258805,0.932644
2016,10.094482,11.038303,0.914496
2017,10.165388,11.260255,0.902767
2018,10.247289,11.501844,0.890926
2019,9.837656,11.296828,0.870833
2020,10.080494,11.852223,0.850515
2021,10.395017,12.298443,0.845230
