Year,age standardized rate,crude rate,comparative mortality ratio,population,deaths
1990,19.174760,11.553627,1.659631,79753227,921439
1991,18.691120,11.351603,1.646562,80274564,911245
1992,17.856919,10.904943,1.637507,80974632,883023
1993,18.016906,11.031363,1.633244,81338093,897270
1994,17.377753,10.849573,1.601699,81538603,884659
1995,17.122772,10.811721,1.583723,81817499,884588
1996,16.926347,10.735369,1.576690,82012162,880430
1997,16.409091,10.485212,1.564975,82057379,860389
1998,16.113621,10.390213,1.550846,82037011,852382
1999,15.503773,10.300562,1.505139,82163475,846330
2000,14.874975,10.169097,1.462763,82259540,836505
2001,14.514604,10.050193,1.444211,82440309,828541
2002,14.657676,10.197721,1.437348,82536680,841686
2003,14.776091,10.346889,1.428071,82531671,853946
2004,13.640841,9.891235,1.379084,82500849,816035
2005,13.516117,10.070927,1.342093,82437995,830227
2006,13.125074,9.981509,1.314939,82314906,821627
2007,13.024578,10.060530,1.294621,82217837,827155
2008,13.082069,10.269593,1.273864,82002356,842130
2009,12.933994,10.446460,1.238122,81802257,854544
2010,12.599981,10.504601,1.199473,81751602,858768
2011,12.619969,10.610610,1.189373,80327900,852328
2012,12.576866,10.769570,1.167815,80523746,867206
2013,12.714172,11.066647,1.148873,80767463,893825
2014,11.966893,10.694364,1.118991,81197537,868356
2015,12.468312,11.258805,1.107428,82175684,925200
2016,11.964356,11.008144,1.086864,82521653,908410
2017,12.069898,11.260255,1.071903,82792351,932263
2018,12.150409,11.501844,1.056388,83019213,954874
2019,11.647008,11.296828,1.030998,83166711,939520
2020,11.960850,11.819840,1.011930,83155031,982879
2021,12.298443,12.298443,1.000000,83237124,1023687
