;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
0 bis 4;4568;4111;3576;3362;3083;2924;2746;2770;2552;2447;2354;2270;2031;2081;1958;1879;1731;1819;1665;1652;1555;1603;1448;1513;1480;1556;1757;1653;1659;1660;1488;1536
5 bis 9;532;482;443;445;426;388;365;364;301;320;279;252;234;275;216;234;217;220;186;171;173;163;167;177;154;144;186;138;171;170;155;150
10 bis 14;510;449;431;463;431;411;406;369;404;407;356;384;341;346;272;273;239;223;229;218;221;229;213;155;188;164;177;158;187;172;154;166
15 bis 19;1878;1819;1625;1602;1671;1667;1622;1714;1523;1594;1464;1376;1407;1287;1185;1067;1044;990;937;844;762;718;706;653;630;644;671;609;639;608;563;614
20 bis 24;3590;3590;3322;3046;2729;2546;2385;2166;2068;2157;2122;2015;1966;1880;1718;1590;1478;1503;1405;1344;1308;1432;1236;1078;1086;1114;1081;1007;1054;990;1018;978
25 bis 29;4042;4389;4165;3809;3704;3480;3293;2935;2470;2354;2157;1844;1728;1815;1640;1633;1510;1575;1539;1566;1587;1425;1372;1362;1350;1463;1367;1278;1281;1227;1153;1212
30 bis 34;4627;4939;5007;4893;4998;4716;4658;4245;3768;3456;3368;3019;2747;2573;2266;2061;1815;1755;1780;1761;1770;1776;1685;1740;1747;1891;1809;1831;1724;1753;1753;1762
35 bis 39;5785;6156;6155;6217;6296;6295;5958;5777;5435;5440;5245;5102;4892;4713;4359;3891;3640;3257;3000;2779;2680;2314;2172;2235;2253;2395;2485;2494;2477;2491;2704;2763
40 bis 44;7031;7953;8190;8264;8577;8572;8280;8071;7970;7831;7964;7670;7724;7694;7610;7222;6993;6535;6216;5874;5578;5108;4770;4334;4006;3943;3776;3427;3587;3569;3797;4022
45 bis 49;13061;11898;10923;10738;10453;10597;11179;11347;11243;11238;11331;11243;11413;11497;11031;11066;10840;10931;10728;10681;10328;9852;9607;9403;8809;8639;8142;7475;7029;6554;6179;6435
50 bis 54;23013;23249;22552;21894;20557;18587;16713;15315;14230;13923;14292;14954;15714;16045;15793;15872;15644;15460;15509;15700;15810;15659;15483;15826;15494;15689;15307;14748;14672;13671;13546;13777
55 bis 59;28847;28892;29557;30671;31457;31674;31395;29977;28397;26321;24263;21681;20319;19768;18755;19592;20595;20949;21402;21930;21865;21709;21569;22125;21737;22934;23028;22802;23716;23017;23896;25103
60 bis 64;39100;40542;40224;39804;38354;38339;38642;38483;39178;39738;40024;39638;38805;37333;34627;31482;27833;26431;25967;25438;26441;27808;28875;29847;29905;30985;30738;30744;31978;31652;33175;35927
65 bis 69;45136;43896;43161;45726;47930;50482;51180;50257;48164;46591;46301;45547;47104;49663;49454;49903;49189;48440;46301;44400;40850;36276;34259;34297;32767;35868;38579;39835;41388;41530;43153;45892
70 bis 74;38920;42072;46311;52111;54361;54339;53228;52089;53449;55927;57766;57929;58419;57650;54165;54221;54632;56006;58489;61031;62325;61233;61058;60178;56067;53937;47845;45748;45755;44770;47964;54517
75 bis 79;70583;64085;55393;48336;41390;42448;46535;51055;55917;58785;57373;56388;57210;60833;62092;65222;65222;65827;65199;64154;65215;66131;68492;73272;74328;79775;79962;80096;78513;74024;70673;65965
80 bis 84;71338;69508;66429;67317;65411;63861;58922;50955;44089;39269;39742;43624;50117;56291;57563;58668;58443;59926;63797;68706;71269;71698;74317;74702;71248;77504;78386;83621;90025;92768;100920;105715
85 bis 90;44865;45503;44148;46394;46283;46531;47086;46266;47064;46745;45818;41777;38198;34073;29082;32123;36169;42055;47370;51447;51836;52570;55588;60489;62162;69549;70241;72674;72977;71997;80431;85665
90+;17664;18285;18971;20782;21262;22806;23489;24158;25221;26199;26762;27174;28747;30453;29602;30555;28706;27237;25931;25273;27449;29924;33406;36259;36814;41318;42767;47418;51200;53262;60075;63360
