Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0 bis 4,337,326,305,246,268,253,265,237,217,205,239,198,192,207,180,195,165,179,179,119,140,130,119,124,151,126,135,156,147,122,127,119
5 bis 9,39,37,30,29,29,27,26,30,27,26,23,30,22,19,20,21,20,16,16,10,12,11,19,8,9,13,13,9,12,9,15,15
10 bis 14,43,36,36,32,20,28,31,32,19,31,27,33,21,29,37,18,26,22,25,17,12,17,11,16,13,13,11,14,13,16,18,12
15 bis 19,103,108,114,116,96,117,94,98,93,87,93,80,91,76,73,84,75,82,78,68,59,55,50,55,41,38,28,46,57,51,35,38
20 bis 24,187,190,175,154,176,165,168,148,112,150,151,111,125,109,115,94,118,105,137,93,94,90,86,62,71,90,88,92,60,80,82,86
25 bis 29,222,235,223,213,218,255,171,177,178,196,154,155,144,135,124,143,105,116,102,118,101,80,75,73,89,85,97,88,96,91,112,77
30 bis 34,280,293,283,290,292,290,293,282,248,232,204,196,214,182,200,164,168,163,163,149,117,134,92,97,115,82,99,101,114,99,88,90
35 bis 39,365,383,369,426,401,374,357,339,331,289,299,337,333,304,317,227,263,239,216,237,213,220,182,174,169,145,154,133,136,136,157,132
40 bis 44,652,567,579,545,605,553,599,567,528,463,484,431,469,461,454,402,444,458,399,392,368,329,302,290,284,265,266,226,242,202,219,196
45 bis 49,822,856,868,912,883,848,818,781,761,753,746,742,689,749,698,665,667,661,648,581,607,590,574,557,514,503,471,453,405,409,380,391
50 bis 54,1068,1035,1025,1057,1156,1124,1273,1218,1269,1238,1129,1150,1177,1097,1099,1043,1115,1140,1010,995,1025,889,870,878,832,859,777,785,790,734,690,637
55 bis 59,1592,1519,1503,1493,1474,1524,1524,1473,1460,1585,1704,1777,1777,1808,1705,1619,1631,1584,1418,1506,1488,1387,1374,1333,1279,1214,1290,1194,1219,1162,1132,1152
60 bis 64,2348,2219,2277,2199,2231,2263,2124,2065,2140,1962,1930,1915,1992,2090,2189,2126,2408,2419,2436,2447,2255,2050,1931,1947,1933,1900,1863,1810,1795,1821,1663,1754
65 bis 69,3577,3346,3351,3391,3238,3211,3128,2958,2906,2765,2686,2662,2627,2587,2491,2557,2499,2554,2697,2677,2787,2907,3028,3001,2925,2800,2745,2557,2609,2675,2556,2533
70 bis 74,4516,4457,4483,4589,4477,4599,4290,4124,3836,3796,3622,3595,3500,3390,3253,3123,3230,3148,3150,3128,3257,3092,3124,3190,3309,3559,3665,3920,3941,3834,3779,3881
75 bis 79,5366,4999,5019,5174,4807,5068,5047,4852,4871,4838,4770,4632,4463,4410,4202,4023,4028,3879,3787,3824,3715,3747,3713,3602,3598,3713,3745,3871,4203,4292,4584,5031
80 bis 84,4756,4675,4720,5024,4977,5001,4799,4694,4548,4520,4439,4670,4669,4617,4598,4479,4357,4318,4260,4365,4231,3978,4064,4185,3864,4020,4095,4288,4581,4462,4613,4877
85 bis 90,3091,3018,3232,3366,3314,3552,3422,3474,3515,3600,3482,3522,3524,3530,3386,3474,3464,3585,3576,3710,3727,3624,3583,3730,3706,3841,3772,3859,4125,3900,4257,4503
90 bis 95,1375,1397,1493,1524,1458,1601,1527,1535,1505,1600,1639,1726,1830,1890,1844,1789,1855,1815,1964,1941,1885,2022,2008,2101,2130,2282,2333,2467,2541,2539,2580,2702
95+,431,389,457,493,416,414,432,442,425,470,450,449,462,456,512,559,559,562,590,560,669,587,706,688,662,735,769,801,906,821,908,943
