Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
unter 1 Jahr,3720,3279,2851,2687,2454,2324,2272,2260,2088,1979,1917,1815,1670,1700,1629,1541,1429,1518,1381,1339,1294,1347,1207,1268,1266,1297,1494,1418,1399,1387,1283,1313
1-Jaehrige,311,313,254,222,223,223,191,202,193,173,183,175,156,157,144,130,122,134,105,136,102,105,99,106,80,108,114,109,107,110,78,89
2-Jaehrige,213,210,198,187,164,165,110,119,130,126,101,113,83,83,68,77,70,52,87,65,68,66,52,58,37,65,68,58,57,65,41,45
3-Jaehrige,192,173,144,149,125,108,104,102,71,90,91,106,74,78,65,69,60,59,51,52,47,48,39,47,58,44,37,37,51,53,40,46
4-Jaehrige,132,136,129,117,117,104,69,87,70,79,62,61,48,63,52,62,50,56,41,60,44,37,51,34,39,42,44,31,45,45,46,43
5-Jaehrige,127,116,103,108,98,97,90,63,62,52,47,53,63,55,51,50,49,54,37,37,41,38,43,42,26,30,46,33,33,43,30,44
6-Jaehrige,93,93,93,94,96,74,87,82,57,70,66,48,46,58,40,48,41,42,38,39,42,34,31,27,37,35,41,28,32,40,31,28
7-Jaehrige,117,90,88,78,90,87,60,61,65,66,44,45,47,58,46,42,42,43,34,35,29,27,31,34,32,27,33,25,38,33,39,28
8-Jaehrige,114,106,83,82,62,71,58,87,59,76,58,45,47,57,41,48,41,49,36,29,31,34,33,29,23,28,38,28,30,25,31,21
9-Jaehrige,81,77,76,83,80,59,70,71,58,56,64,61,31,47,38,46,44,32,41,31,30,30,29,45,36,24,28,24,38,29,24,29
10-Jaehrige,91,76,76,68,71,64,61,64,64,67,50,51,46,41,33,31,30,39,38,33,27,46,27,23,25,29,31,23,35,28,22,25
11-Jaehrige,99,87,77,92,86,70,73,59,58,71,74,60,71,68,54,39,38,39,41,40,28,36,38,23,37,31,32,28,27,28,24,23
12-Jaehrige,77,97,83,92,83,66,77,60,81,76,77,76,70,63,50,55,56,48,46,34,55,48,37,31,38,29,22,22,34,37,30,28
