Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
unter 1 Jahr,443447,405513,395867,388870,373952,373097,387111,394882,382119,374795,373556,357532,349961,344028,343439,334250,327261,333453,333112,324028,330942,320841,328424,332788,348856,362170,384735,382505,381896,377310,374047,385157
1-Jaehrige,435989,446327,410900,399365,390613,376901,375300,388011,395148,384169,375747,376106,359233,352109,345803,344897,335484,328687,334851,335300,326736,331427,324398,333269,338900,359977,370820,388384,388013,386922,381497,379436
2-Jaehrige,446623,440693,452055,414328,401033,393249,378888,375764,387690,396499,384608,377140,376789,361064,352655,346058,345015,335740,329015,335497,336424,325991,333776,327618,338053,347822,366361,374705,391673,390840,388830,384267
3-Jaehrige,434488,451804,446632,455612,416424,403801,394973,379302,375416,388953,396645,385756,377990,378828,361283,352842,345966,344951,335710,329431,336393,336204,328157,336633,331911,346995,353479,370084,377820,394228,392619,391300
4-Jaehrige,428481,439707,457872,450482,457966,419220,405791,395636,379128,376760,389108,397776,386866,378483,379012,361251,352584,345799,344729,335900,330122,335647,338176,330883,340751,340289,352463,356882,372898,380367,396061,394781
5-Jaehrige,412824,433476,445617,461765,453012,461013,421312,406344,395675,380505,376918,390288,398788,387313,378516,378945,360808,352205,345362,344710,336366,329292,337377,340856,334728,348965,345166,355717,359630,375311,382060,398255
6-Jaehrige,410544,417510,438738,449471,464102,455600,462848,421256,405660,396595,380673,377911,390961,398767,386966,377784,378131,360006,351257,344835,344730,334787,330494,339320,344281,342442,353199,347930,357868,361672,376829,383779
7-Jaehrige,414837,414900,422890,442113,451996,466964,457504,462914,420591,406668,396575,381599,378585,391110,398667,386483,377147,377665,359523,351142,345167,343904,336208,332667,342682,351988,347094,356439,350421,360434,363356,379063
8-Jaehrige,426083,419272,420387,426770,445242,455473,469382,458307,462753,421967,407188,397776,382716,379224,391249,398573,386045,376795,377391,359693,351567,344265,345307,338362,336078,349951,356978,350372,359122,352934,362309,365699
9-Jaehrige,425893,430745,424498,424481,429863,448695,458129,470354,458406,464135,422624,408604,398939,383240,379602,391207,398184,385635,376502,377426,360135,350483,345772,347475,341745,342778,354300,360340,353022,361776,354843,364719
10-Jaehrige,428728,430507,436024,428405,427643,433377,451244,459205,470400,459800,464801,423991,409834,399442,383564,379655,390896,397925,385292,376432,377989,358677,351900,347814,350616,348360,346854,357375,363004,355707,363682,357124
11-Jaehrige,404984,433433,435564,439882,431500,431157,435969,452387,459359,471886,460727,466367,425454,410507,399815,383894,379605,390731,397755,385436,376939,375808,360084,353805,350910,356632,352305,349789,359949,365603,357563,366000
12-Jaehrige,398991,409470,438404,439185,442873,434877,433894,437077,452830,461093,472820,462446,467662,426319,410915,400064,383858,379607,390619,397892,385914,376312,377333,361982,356637,356615,360196,355014,352344,362358,367491,359732
13-Jaehrige,395871,403434,414406,442014,442162,446324,437610,435240,437445,454604,462287,474514,463838,468604,426856,411191,399963,384000,379503,390828,398502,385472,377762,379174,364876,362053,360084,362780,357392,354577,364021,369519
14-Jaehrige,391139,400631,408178,417963,445109,445677,448905,438961,435691,439440,455794,464179,476175,464691,469193,427231,411169,399990,383966,379667,391384,397843,386794,379448,382051,370038,365234,362548,365061,359517,356227,365928
