Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
unter 1 Jahr,467995,427236,416050,410152,395665,392907,409150,416403,402663,396428,392998,378223,369289,362421,361549,351737,345871,352042,350238,341123,347291,337491,345987,350282,367563,382551,403564,402569,402082,397560,395333,406097
1-Jaehrige,457862,470884,432906,419481,412203,398620,395214,410057,416653,404736,397193,396041,380314,370736,364243,363116,353014,347455,353354,352496,343878,347809,341450,351068,357015,380101,391699,407765,408361,407210,402096,401359
2-Jaehrige,471160,463032,476392,436455,421326,414632,400465,395638,409563,417926,405158,398778,396983,380171,371475,364536,363343,353441,347780,354013,353694,343588,350534,344706,356316,367786,386856,395923,410978,411575,409536,404878
3-Jaehrige,459998,476751,469046,480428,438595,424132,416542,401038,395211,410825,418029,406442,399821,396207,380428,371670,364253,363391,353345,348209,354795,353487,345843,353478,349198,366762,373724,390784,398943,413588,413579,412034
4-Jaehrige,450528,465472,482957,472977,482814,441616,426288,417182,400925,396543,410802,419190,407275,400273,396435,380501,371355,364085,363038,353611,348845,354101,355497,348767,357848,359093,372745,377177,393733,401776,415540,416024
5-Jaehrige,434595,455917,471843,487386,475809,485964,443743,426706,417052,402279,396822,411907,420212,407658,400302,396342,380209,371069,363599,363021,354135,348046,355946,358151,353123,367898,364483,376371,380099,396168,403694,417887
6-Jaehrige,432878,439517,461739,475733,489809,478828,488013,443753,426054,418012,402129,397752,412468,420335,407388,399689,395419,379380,370107,363189,363039,352481,349430,358017,361899,362274,372791,367598,378881,382282,397758,405618
7-Jaehrige,436980,437651,444899,465372,478554,492757,480995,488356,443029,427125,418018,403117,398489,412673,420071,406942,398890,394904,378734,369941,363418,362049,354047,351653,361652,371378,367520,376147,370192,381535,384091,400215
8-Jaehrige,449334,441774,443447,448966,468521,482285,495392,481800,488323,444378,427578,419306,404264,399039,412765,419859,406485,398459,394540,378865,370412,362379,363634,356195,355412,370501,376926,370796,379116,372873,383574,386770
9-Jaehrige,446971,454310,447223,447726,452148,472293,485149,496526,481852,489939,444820,428898,420420,404824,399460,412696,419518,406162,397982,394905,379376,369640,364094,365864,359878,363739,375470,380506,373887,381985,375054,386136
10-Jaehrige,450172,451912,459929,451350,451108,455870,475180,486444,496606,483386,490598,446239,430218,420985,405184,399588,412448,419200,405688,397927,395340,379094,371262,366240,369406,368339,368644,378707,383341,376669,384075,377542
11-Jaehrige,426777,455260,457404,463995,454717,454923,458709,476533,486661,498212,484274,492255,447799,431053,421559,405460,399472,412363,419004,405875,398450,395373,380625,373361,369612,377066,372775,371956,381581,386060,378854,386600
