Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0 bis 4,3312,3051,2681,2494,2379,2155,2084,2082,1961,1854,1774,1694,1722,1589,1579,1419,1376,1386,1285,1211,1249,1268,1178,1171,1211,1313,1399,1352,1340,1292,1292,1258
5 bis 9,408,357,330,307,293,328,254,236,209,234,196,192,180,202,166,194,138,131,138,147,143,148,130,130,93,106,128,128,119,120,100,115
10 bis 14,328,309,301,318,294,280,263,250,256,253,254,262,230,224,178,229,190,168,181,187,144,166,113,147,129,159,150,144,137,142,117,143
15 bis 19,706,716,642,659,650,689,665,630,650,667,621,600,557,532,525,454,454,425,388,405,376,316,314,332,299,345,322,295,304,266,236,280
20 bis 24,1262,1106,1073,907,855,841,783,674,663,671,708,654,672,636,643,556,542,527,520,552,536,492,460,460,424,421,366,410,369,360,360,380
25 bis 29,1456,1476,1493,1407,1245,1235,1182,1033,960,881,793,709,668,654,629,582,593,621,642,629,624,607,564,589,522,602,565,556,555,518,514,470
30 bis 34,1864,2029,1924,2042,1998,1940,1840,1742,1548,1516,1467,1211,1211,1127,972,935,844,821,746,828,791,832,766,851,799,897,881,882,913,882,854,908
35 bis 39,2861,2798,2734,2701,2653,2718,2803,2716,2596,2591,2557,2573,2336,2291,2041,1956,1837,1704,1577,1440,1348,1250,1177,1229,1164,1218,1232,1258,1356,1408,1357,1379
40 bis 44,3622,3855,4013,4284,4112,4166,4091,4050,3877,3920,3896,3824,3917,3866,3577,3732,3531,3313,3260,3162,3044,2840,2633,2477,2225,2140,2076,1887,1960,1866,2006,2153
45 bis 49,6379,5852,5467,5371,5201,5263,5782,5790,5851,5755,5744,5726,5851,5698,5782,5714,5695,5592,5783,5733,5565,5530,5283,5147,4844,4770,4650,4277,4031,3586,3525,3485
50 bis 54,10401,10838,10216,10209,9775,8990,8092,7537,7105,7094,7332,7830,8109,8274,7987,8041,7947,7993,8035,8075,8308,8353,8365,8574,8498,8524,8285,8134,7982,7744,7262,7369
55 bis 59,13221,13177,13469,13913,14217,14414,14314,13957,13351,12702,11715,10521,10064,9901,9749,10070,10480,10981,11178,11250,11079,11427,11216,11695,11559,12006,12405,12271,12736,12535,12627,13101
60 bis 64,21381,20787,19585,19099,18436,18277,18361,18408,18788,19139,19359,19108,18852,18113,16934,16053,14302,13517,13800,13466,14146,15394,15572,16266,15954,16773,16720,16947,17606,17314,17761,18854
65 bis 69,36605,34846,32375,31401,30423,29742,29055,27135,25872,24864,24453,24421,25174,25912,26072,26276,25675,25673,25206,24360,22289,20300,19394,19864,19116,20788,22224,22895,24272,23974,24371,26108
70 bis 74,38072,41284,44744,50609,53011,51269,48999,45838,43993,42264,40670,38815,38128,37159,34389,34187,34215,34556,36543,37586,38202,38154,37960,37390,34736,33896,30621,29840,29682,29120,30764,34514
75 bis 79,88104,79964,69369,61158,52499,51800,56391,61549,67779,71632,68913,65427,63573,62565,58784,57520,55616,53533,52494,51447,51872,51002,53017,56453,56676,60190,58805,59136,58787,55041,52556,49843
80 bis 84,115062,113670,109476,110150,107663,104429,97569,85947,74421,65377,64469,70294,81031,91646,93248,93089,89564,86076,85837,85827,83350,79771,79673,78784,73437,78499,77486,81721,86663,88671,93875,98172
85 bis 90,94222,95102,94853,99198,102066,104489,106834,104658,106662,107060,104770,96548,89305,80400,67535,71950,80274,91062,104180,112539,110539,106056,105808,106839,100744,106457,100868,101270,101091,96929,103180,108489
90+,57083,58210,60115,65169,67516,70900,75399,77844,82397,87114,90125,94245,100990,106887,104093,108716,102414,97937,94995,90731,96141,100794,109536,115782,113701,126584,123412,131104,134939,131867,140018,141107
