Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0 bis 4,2189028,2184044,2163326,2108657,2039988,1966268,1942063,1933595,1919501,1921176,1919664,1894310,1850839,1814512,1782192,1739298,1706310,1688630,1677417,1660156,1660617,1650110,1652931,1661191,1698471,1757253,1827858,1872560,1912300,1929667,1933054,1934941
5 bis 9,2090181,2115903,2152130,2204600,2244215,2287745,2269175,2219175,2143085,2069870,1983978,1956178,1949989,1939654,1935000,1932992,1900315,1852306,1810035,1777806,1737965,1702731,1695158,1698680,1699514,1736124,1756737,1770798,1780063,1812127,1839397,1891515
10 bis 14,2019713,2077475,2132576,2167449,2189287,2191412,2207622,2222870,2255725,2286823,2316429,2291497,2242963,2169563,2090343,2002035,1965491,1952253,1937135,1930255,1930728,1894112,1853873,1822223,1805090,1793698,1784673,1787506,1797750,1797762,1808984,1818303
15 bis 19,2126357,2041268,2020583,2038780,2067635,2134093,2182307,2220177,2240268,2256012,2247258,2259414,2275502,2308768,2332522,2355984,2320508,2263821,2183869,2103040,2016565,1962863,1965895,1964687,1972135,2000494,1985471,1949255,1920778,1900397,1865287,1851582
20 bis 24,3079905,2958696,2813135,2625188,2452603,2322265,2225744,2181888,2187673,2215970,2280601,2336992,2381398,2403261,2409481,2392336,2386853,2386946,2403638,2417804,2443557,2360933,2326120,2276507,2228424,2189310,2178101,2189438,2192260,2191934,2176270,2158289
25 bis 29,3387578,3423168,3443241,3411215,3333255,3227415,3095523,2918072,2714215,2544318,2411369,2324098,2294967,2310896,2334933,2393019,2429190,2458120,2461136,2455552,2436127,2393546,2417248,2467054,2514805,2588966,2579651,2548258,2497399,2438489,2360133,2347054
30 bis 34,3031572,3140352,3252033,3367356,3446545,3493316,3514788,3501190,3444137,3361461,3249175,3121211,2956742,2763337,2592650,2458421,2358356,2318650,2320977,2336333,2391659,2393758,2438615,2470499,2498026,2520791,2544895,2573555,2624948,2665455,2704150,2688341
35 bis 39,2775865,2821443,2875109,2939031,3019771,3118396,3217371,3304841,3397862,3467687,3502223,3519282,3510175,3460603,3375463,3262517,3124861,2955766,2756448,2583366,2449650,2316886,2294667,2318679,2359171,2444464,2500432,2550417,2584099,2606089,2602003,2617412
40 bis 44,2472436,2609769,2706665,2773324,2809745,2832145,2872864,2911981,2961962,3035489,3125928,3222447,3312424,3409135,3474810,3505076,3513102,3497621,3441360,3353895,3243435,3052471,2894516,2719068,2573135,2471280,2393629,2377131,2402780,2438092,2503680,2552269
45 bis 49,2503646,2311559,2286135,2272018,2308505,2493304,2628976,2717388,2776464,2809753,2828100,2867180,2908610,2962665,3033754,3121542,3211454,3296332,3386570,3447397,3477144,3454255,3443166,3395959,3318228,3221159,3097169,2944060,2772302,2624418,2509582,2428702
50 bis 54,3018300,3064728,2997182,2905377,2763609,2489343,2295829,2265192,2250101,2288995,2471756,2608121,2698910,2760525,2792982,2809905,2844390,2882426,2931916,2999569,3085093,3146754,3234575,3331985,3401848,3443938,3458055,3450056,3405726,3326464,3222093,3097956
55 bis 59,2351910,2466270,2601552,2776608,2896372,2992170,3033796,2957660,2858099,2714774,2442238,2252374,2225563,2214497,2255191,2435440,2567823,2654857,2712475,2742416,2758969,2768218,2809147,2862922,2937399,3026149,3118379,3205222,3300544,3366915,3403194,3416297
60 bis 64,2313785,2275132,2239652,2186607,2229969,2298143,2408216,2538339,2707117,2824549,2916823,2957574,2883148,2785826,2643385,2375796,2188379,2162027,2149744,2189134,2364447,2471235,2557048,2617743,2650848,2672798,2707823,2747063,2798189,2868318,2951576,3040117
65 bis 69,2372638,2309307,2261750,2251907,2236324,2216685,2178526,2141163,2087037,2128764,2195716,2305486,2435260,2601598,2716684,2806776,2845430,2771752,2674957,2535108,2275834,2074453,2050962,2040645,2082925,2251562,2376693,2459543,2516863,2546505,2565316,2596274
70 bis 74,1560701,1780282,1989818,2162999,2218861,2179170,2126433,2086206,2078387,2067069,2052072,2020560,1988860,1941311,1983682,2052893,2159649,2285279,2442450,2552708,2640530,2661105,2588748,2497962,2366354,2121822,1951223,1927417,1916659,1955815,2113556,2228736
75 bis 79,1787538,1626367,1432441,1256151,1207111,1340577,1533294,1714553,1863361,1916080,1891788,1855465,1827852,1827796,1823742,1815775,1792990,1767864,1729821,1773138,1839048,1923334,2041270,2187585,2297800,2380229,2418877,2350988,2265773,2143390,1916998,1757554
80 bis 84,1330581,1343363,1371170,1388714,1397292,1332739,1212888,1069359,943427,922153,1041539,1201622,1344789,1457978,1504198,1494815,1475031,1461945,1467108,1467528,1467334,1440374,1423039,1395604,1441588,1504935,1595430,1698543,1824473,1923991,1998184,2026812
85 bis 90,624851,654343,686168,719251,750318,778661,793681,820576,841376,854704,817172,744197,655871,581580,586546,678414,788888,882588,951164,978446,979123,965430,960918,967496,978525,982170,977640,968220,952266,993441,1046633,1112659
90+,216665,231992,249885,264377,282233,298829,318231,340843,363072,387052,409175,427625,447939,462152,479664,465000,434720,404362,379853,395000,441352,465385,494874,514051,537794,554419,571799,578756,587350,599829,608422,605526
