,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,42.429458696277685,40.3268883927329,39.11810725120201,37.58147462210541,36.007265009082055,33.63172811751674,30.51171837012545,28.821163425205388,26.432043911464046,24.28182994956886,23.84259080854868,22.57838679735066,22.033224847601293,22.40743612274082,22.17551116121249,22.141043126092402,20.403306803853926,20.837930670555615,20.18654598604672,18.90715128411069,16.998444350652385,15.100666897648788,14.354728429610645,13.576262103859527,12.857251232048874,11.844026503627088,11.15609631519633,10.222130883664905,9.738198967615743,9.14330926420947,8.983891329841486,8.514083815879872,7.747519918073672,7.423740857080018,7.118068522975698,6.503933564442582,6.077100409836064,5.785056325242936,5.511364871795855,5.30684233061117,5.083753890022822,4.849762912754594,4.6100566134066385,4.487297968907235,4.357529869709102,4.214585423637121,4.179739826339795,4.199532573765702,4.129947833152202,3.863853620714612,3.8029934380299344,3.9264326083132155,3.4994801398753066,3.474640333803563,3.475829364022023,3.596466859633244,3.300212066108375,3.317069720355255,3.2687078089930233,3.2990589389831717,3.5171959960329464,3.240455431740804,3.1826780997442423,3.1971201473891684,3.06175529084549,3.034664117275415,3.0672960836711285,3.0666209031751928
1-4,1.6495460984289694,1.627270284390964,1.4923579814955994,1.5182956685369913,1.3964410745627276,1.381387996240122,1.270299774699159,1.2681107949464436,1.1018935100445644,1.112083828272808,1.0762671384886644,1.0163611317724963,0.9968720988072647,1.0131460433451336,0.9469718196918379,0.9237761676870839,0.8369011516098948,0.7982610543363091,0.7481870006201633,0.7791277509895425,0.701826604554766,0.681558643593444,0.6789180812938441,0.6496993144298728,0.6336546872187847,0.5933480769468366,0.5783246235886089,0.5400533572716985,0.4860972042373185,0.48804543652019705,0.46523538428382205,0.4241740245442792,0.4528044199444653,0.39305083779195504,0.42422130561413623,0.40214369472776035,0.34724008496613856,0.3339787638859873,0.3327782219310373,0.3076299421679695,0.2694435672772981,0.2851477878892892,0.26845305748064885,0.2545344280737878,0.24045222597235613,0.2525136297462947,0.2302148479265573,0.22257107009412985,0.20733725806469347,0.2069304514314981,0.185175767927066,0.196109529851514,0.19349660023387574,0.19255696355504562,0.17682492864637217,0.1701746035538191,0.1552147777466499,0.15964028702882205,0.1482112684262658,0.16425697311649048,0.15635961131680595,0.14581345974485635,0.1591920519984403,0.14737021480707754,0.12698535171418923,0.13346203334107162,0.14794131578260333,0.16308075039468023
5-9,0.5806352640856445,0.6230951927814813,0.5382414125191928,0.5527974171650871,0.5255646071360351,0.5360909726455074,0.5233347736350878,0.506148488412689,0.5058651855591991,0.49477152088784804,0.49824819145980737,0.5137424020333523,0.5115529999611163,0.5144711479717837,0.4941433712625665,0.4945884931290719,0.4829160747876371,0.45935294234770574,0.40819030746301843,0.407373628407963,0.3849548267816454,0.3733109617539042,0.37176988779526304,0.34596995594319113,0.3231538124852761,0.3032452330382651,0.29644980508362134,0.27138839849127494,0.2463754017991366,0.24690162541880117,0.2334468350854237,0.20337123174932178,0.23420000166827398,0.21279671278841894,0.22039595775056384,0.1954872046751033,0.17705957051694585,0.16944000753467267,0.15874056691356456,0.15538511419286766,0.13294626836533086,0.13143615466880937,0.11500074186753087,0.12927147125634839,0.11485783245632894,0.11092008208086075,0.10375029759294298,0.1199805616398249,0.09604188515627264,0.10795848239633526,0.09031199104105049,0.09125907538912217,0.08630466857244831,0.08678925603594712,0.0879920383912605,0.08829107096217395,0.08497212467522118,0.08806554141662173,0.07077400399199767,0.07089000989624539,0.08719722847052003,0.07331208569025258,0.07949310808458615,0.0785619160005158,0.0677492406451106,0.0690849888747098,0.07890515826138264,0.08954834539964843
10-14,0.4414346335296621,0.47070356220056037,0.41272062294876827,0.42609033800198337,0.37983325347178787,0.3988168159792055,0.39096878074390984,0.37476764114676564,0.39647368421943663,0.39507608422340357,0.4066864415259133,0.39117284532864427,0.394084844699345,0.39703684940915807,0.3957717365066956,0.3844235124558991,0.36968240522058043,0.34721906556443355,0.31457322639915924,0.3280399246947751,0.31823610524354917,0.3084376251738877,0.2991993980757536,0.2840207008978632,0.2749231042542506,0.2680497714541065,0.2400567129444681,0.2420539070371422,0.21576758983835218,0.21068388588678436,0.2096109561883717,0.19783986473274365,0.19129101555396244,0.1687225873367736,0.20681762708116408,0.18120281375936553,0.17008530360459687,0.1784865030151878,0.16374208250568298,0.15526439549234428,0.14965166875703423,0.13788967756537174,0.14564800452303256,0.14368250867918547,0.1308542581839838,0.13852396496758945,0.12467973030748074,0.1279343539651794,0.1041911103451949,0.12118239253632333,0.10687247298916577,0.09800267539784449,0.10307513397298158,0.1022134784157518,0.09238745120234042,0.10063109709805393,0.08456125889350069,0.08001250526572365,0.08515567370494875,0.0870230992276835,0.08851474574902955,0.08215089541755777,0.08664725226670565,0.0848074021196989,0.072870795508333,0.08274689705830764,0.08196525356292712,0.09011989808726953
15-19,0.8497957130203192,0.9511981777788112,0.8843983417283501,0.9067232631532752,0.890689034746019,0.9246875190281123,0.8796615884931613,0.8793620913974324,0.8435484103880944,0.8134448455963182,0.8700188930573345,0.8767553108900545,0.890505491555537,0.9638584279297024,0.9823072200986921,1.0025877603002342,1.0185754334726316,0.9277028261593246,0.8752660242221042,0.9765163566489738,0.951530854265669,0.9433229725378816,0.9130998113694809,0.8634241963306545,0.8168096754435376,0.8171248162995038,0.7751722754329053,0.7469948708982819,0.665303579947781,0.6092711080114254,0.5953238553207134,0.5756876031946312,0.5446179793999677,0.5486581752277047,0.5778750345237843,0.596401265358803,0.5471460920540266,0.545749549955756,0.5551595635264233,0.5520968784733069,0.5208814627106005,0.5257829938361813,0.48200446425303617,0.4982163589925409,0.4579198624301327,0.4359578762320885,0.4306548167886088,0.3949495983049754,0.3660949746546668,0.3236758338642809,0.3189905418665504,0.30805115085950624,0.2963802835283397,0.2898843363818768,0.2741702254989874,0.25614842934440374,0.25195098982431774,0.24408182118243643,0.22919121405719273,0.23855094574804714,0.23608245945625742,0.21928872344126107,0.23341422386181482,0.22030951217827627,0.20453466398444214,0.2326986352251073,0.24410110477015315,0.23656903276052355
20-24,1.3204331160657792,1.3929633885507444,1.2230038339008589,1.2808147547430382,1.201830542768338,1.2355639242720322,1.2015839236713646,1.1501635154351384,1.190012526121312,1.0867069378047929,1.1204283887598592,1.119905028272607,1.0940123340701786,1.0969553255782487,1.1482577121032778,1.199584557084088,1.1832256321145982,1.0956958623164614,1.018563380438449,1.0782881526873322,1.0788407031996021,1.1007272777354566,1.0939375438024725,1.059660012968819,0.9910244885917485,0.9409403181016694,0.9264012174113473,0.9035326181292523,0.8275588387629094,0.7723905801102875,0.7446602179633005,0.7179561332654588,0.7279253567963964,0.7023641950070975,0.7583756194429878,0.7613417383558974,0.7413586735285219,0.7113355906046839,0.6940705767525088,0.6989697882845894,0.6872077699949543,0.6408830104170569,0.6211507870260228,0.6401773300259014,0.6281172557313803,0.5798251270010376,0.5619971478325189,0.5295142033654693,0.49311171834883066,0.4506759824578839,0.42726885262970327,0.42965677856095263,0.4047249674138583,0.39593517694959424,0.3818451278404649,0.396199045288107,0.3523107687289786,0.3259567233030621,0.3263692052715327,0.3349514658378944,0.31546834752530895,0.30840545443925127,0.30933276292632705,0.2930009241466185,0.29907662771448235,0.29869064403245565,0.31616427993198604,0.301433066721237
25-29,1.3862210095134038,1.4041951681635951,1.3261242425573116,1.3107819530502123,1.322513045378016,1.2397054719752711,1.203966322495213,1.1581864196242995,1.1621758988269213,1.1331145630014745,1.1451189694804842,1.148364638136473,1.0806187740684499,1.1225418017851128,1.1591786680720388,1.1588002857381892,1.0901479500038551,1.0598734305176991,0.9751963199510215,0.9780661112192249,0.9897538654257803,1.0060512117327927,1.0026136057179202,0.9766052194463433,0.9491853711864331,0.9436259104080507,0.9254436500044719,0.9058123742905035,0.8322208080168629,0.8001952135599266,0.7741498124088211,0.7556124263222546,0.757117618945504,0.7422491066851181,0.7937218306707512,0.8336117961541288,0.7937299075406758,0.7347653462912733,0.7104937005236751,0.6994622225868293,0.6893806541653831,0.6465804157505555,0.6012952917351524,0.6108906218753228,0.5909144921446904,0.539001156751797,0.5211505333310132,0.5382522200177919,0.4905656111984755,0.4734132001706425,0.44170010222322387,0.4561342580091443,0.44903126346687666,0.45233650868753994,0.4564247567266373,0.42001452989703125,0.3947536023049874,0.391633220935335,0.3665833433693356,0.39136902363478293,0.35759310624750207,0.34307965612588304,0.3497090234261237,0.33976756393860896,0.3331652632565569,0.34306681746377354,0.34997956434204747,0.32346273493387634
30-34,1.5457285996587558,1.5939804810707272,1.506036059419617,1.518075134615502,1.4694733524118808,1.4724842192114,1.4772438715914389,1.4335313709716406,1.424307706945076,1.4227312153517184,1.3958441841720441,1.3592019600928238,1.3100495251709083,1.3492760000616093,1.3707389513179455,1.3423097779217186,1.3564264716810588,1.3073382453315598,1.2948495898205719,1.30836792734608,1.2908527702686052,1.2637667446463012,1.2643845718499718,1.1665826059838373,1.1277045675089363,1.1046105935972865,1.118105350826282,1.055354107235359,1.0161288153628252,1.0136974583210088,0.9962326989286787,0.9875902814871793,1.0060751461298367,1.015522650522582,1.059654067269341,1.097321279387163,1.049069959297314,1.0145082728870727,0.9952548989203135,0.929731907278798,0.8964918894273647,0.8290752120913426,0.7463049062668554,0.7151789687901767,0.7184884467599241,0.6570904408098213,0.6467052914315797,0.6468498778279348,0.6059211511195576,0.5973211859417389,0.5582972333317096,0.5596802522385037,0.5505838410183453,0.5634809438414757,0.5497567433784915,0.5476840130049218,0.5029225720204248,0.5229090703524689,0.5055184941309203,0.5430434629899196,0.516510165960541,0.516314333993523,0.4932439421432525,0.48326065777736044,0.46967618977411085,0.47958202002102257,0.4950199840070467,0.46768034697840066
35-39,2.004188939632233,2.0506507840424724,1.9809862369641489,2.0169279228454764,2.0278213578743065,1.9510359076650956,1.9039964342371976,1.8814891032788033,1.9160829975393208,1.8848722599570098,1.9447361814991244,1.9083246557721631,1.9379879670276376,1.9933384890481975,1.939410351552972,1.9169712544427506,1.9088973983120625,1.845275212984187,1.7897612876189803,1.8088365314680777,1.7953161402407438,1.7406573717889997,1.7737663281002125,1.7218558799492314,1.674265380547174,1.6884484707533198,1.6246613961940508,1.5480016902247515,1.4809592155399252,1.4142195970966647,1.410792356269542,1.3902821506052128,1.4195604660960133,1.429181407281495,1.5415350629691933,1.572201703961829,1.5238385945291133,1.4982826367892732,1.4643950243624015,1.431801725406069,1.3463450072532994,1.2733807351423547,1.172291701091453,1.146118965179162,1.094229201500691,1.0719463878758744,1.010378606812591,0.990539372879083,0.9242331221536615,0.8772584151144796,0.8582496128471268,0.8200489318453548,0.8086379780428485,0.8020446527947367,0.8121456820349825,0.7535670779332097,0.7233673029471305,0.7459483939142343,0.7250173923427794,0.7450608511066763,0.7407672714297281,0.7342925792795202,0.7374175840137563,0.7408726259630727,0.7650524066821255,0.7795919319951907,0.7937851638159378,0.757153332962795
40-44,3.029205546810273,3.0366101369871594,2.922880622372802,2.7971981140145132,2.778669348342574,2.728984488134461,2.7106591443202297,2.8238873162878724,2.8150877895282824,2.806164430610311,2.7433869028170297,2.7593358167497692,2.7788819468761825,2.9168707269468794,2.947998297620534,2.9443029480087537,2.9374501892315994,2.9460343693782605,2.8250226602532496,2.946512435826503,2.8436800548014887,2.7393326910335873,2.7299362556446103,2.6709928565533927,2.6206905102424742,2.5902643514571566,2.556871442418537,2.4484801370977736,2.3451938404922616,2.3246050474677085,2.317241596758061,2.2135134890952735,2.1701082820861433,2.157665981761713,2.1877479134454387,2.2638935249155785,2.248745687617241,2.251087376742292,2.2460335090711325,2.234154002280458,2.1381120506414164,2.0712456557839545,1.9927693775249191,1.9317853405258678,1.892839902393353,1.787624765523944,1.7607713573125556,1.6999649388665607,1.6035101277309913,1.552474326834686,1.4838540266710138,1.3927889856787172,1.3542317941334718,1.3270866869831057,1.312595481730306,1.2604728129163014,1.2276133044561233,1.2045508003515852,1.1702319017696892,1.1958976775785117,1.1904270759438624,1.1105307145842038,1.1529448835394722,1.1166887333400726,1.1660787003319562,1.2146913326708102,1.2236574279988366,1.1862305448487327
